店舗名,郵便番号,住所,電話番号,定休日,営業時間,営業時間の備考,おすすめ1,おすすめ1（価格）,おすすめ2,おすすめ2（価格）,おすすめ3,おすすめ3（価格）,店主のひとこと,緯度,経度
永平寺門前手打ちそば処　てらぐち,910-1228,福井県吉田郡永平寺町志比5－17,0776-63-3064,火曜日,9：00～16：00,,おろしそば,700,天ぷらそば,950,天おろしそば（冷）,950,大野・勝山産のそば粉を使い、そば打ち職人３人で打った二八そばです。,36.0554621,136.354234
めん房　山楽亭,910-1228,福井県吉田郡永平寺町志比23－31－10,0776-63-3023,不定休,9：00～16：00,,おろしそば,900,なめこおろしそば,950,山菜おろしそば,1000,大本山永平寺門前通りの店で、永平寺を流れる天然水を使って心を込めて打っています。細めでのどごしの良い田舎そばをどうぞ。,36.0556315,136.3515148
生そば　新保屋（芦原店）,910-4103,福井県あわら市二面16－1－27,0776-78-5822,水曜日、第4日曜日,11：00～18：00,,おろしそば,600,天おろしそば,900,山かけおろしそば,800,昔ながらの打ち方で、むかしながらの味をそのままに・・・,36.2308998,136.1971333
そば処　日の出屋,910-4103,福井県あわら市二面34－43,0776-77-2274,水曜日,11：00～20：00,,おろしそば,600,そばの実がゆ,900,そばがき,1200,福井産のそばの香りや甘味を存分に楽しめる「そばがき」は店主の一押しです。是非、とろける口どけを一度ご賞味ください。,36.2243172,136.1957864
麺処　平野屋,910-4104,福井県あわら市温泉4－1,0776-77-2135,水曜日,11：00～23：00,,ざるそば,850,おろしそば,600,にしんそば,850,静かで落ち着きのある店内となっております。おろしそばのほか洋食メニューもございます。,36.2247199,136.1942671
矢麻武希（やまぶき）,910-4124,福井県あわら市田中々2－3,0776-78-5012,不定休,10：30～21：00,,ざるそば,700,,,,,この道30年の主人が打つ細切り手打ちそばは、ざるそばが一番です。,36.2217535,136.1919785
石勝食堂,913-0045,福井県坂井市三国南本町4－11－12,0776-81-2719,木曜日,"11：30～15：00
17：00～20：00",,カツ丼セット,1050,辛みそば(おろしそば),580,えび天おろしそば,830,そば粉、大根は地元産のものを使った二八蕎麦です。,36.210454,136.1522405
生そば　新保屋（三国店）,913-0044,福井県坂井市三国町山王2－9－39,0776-81-2563,月曜日・第３日曜日（祝祭日営業　翌日休業）,11：00～18：00,,おろしそば（小）,600,おろしそば（大）,900,おろし天ぷらそば,850,昔ながらの打ち方で、むかしながらの味をそのままに・・・,36.2095068,136.1532432
そば処　どうぐや,913-0044,福井県坂井市三国町山王4－5－7,0776-82-5659,金曜日　月1回日曜日,11：00～15：00、17:00～20:30,,あげおろしそば,860,辛みそば,600,にしん蕎麦,900,温度・湿度を見て、絶妙な水加減で蕎麦を打っています。全国的にも有名になった、あげおろし蕎麦もご賞味を！,36.2065822,136.1574597
そば処　みの吉,913-0031,福井県坂井市三国新保42－3－1－7,0776-82-1668,木曜日,11：00～14：00,,おろしそば,550,,,,,手打で仕上げる十割そばです。ほのかな甘みと自然なそばの香りをおろしそばでぜひどうぞ。,36.21104,136.1418775
そば処　あおき,913-0002,福井県坂井市三国町加戸119－10－32,0776-81-2883,"水曜日
（祝祭日営業　翌日休業）",10：30～19：00（LO18：30）,,天ざるそば,1300,天おろしそば,1100,天丼セット,1100,コシのあるそばと揚げたての天ぷらが自慢です。うどん・丼物などメニュー豊富に取り揃えております。,36.2285025,136.1755406
そば処　みの吉　きららの丘店,910-4111,福井県あわら市牛山25－36,0776-78-5133,"第3水曜日のみ(4月～11月)
毎週水曜日(12月～3月)",10：00～16：00,,おろしそば,550,,,,,手打で仕上げる十割そばです。ほのかな甘みと自然なそばの香りを“おろしそば”でぜひどうぞ。,36.2417433,136.2052848
越前手打ちそば　また来,919-0503,福井県坂井市坂井町長屋64－3,0776-68-1123,火曜日,11:00-16:00(16時以降予約可）,,天おろしそば,1200+税,天ぷらそば,1000+税,越前おろしそば,600+税,ぎゃらりー彩雅で装飾された店内で、人と人との和を大切に、極上のお蕎麦や珈琲を五感で楽しんでいただく空間です。,36.1816707,136.2421085
ふるさと渓流,910-0204,福井県坂井市丸岡町山竹田70－4,0776-67-2521,水曜日,11：00～18：00,,"越前おろしそば
（辛みそば）",600,季節の天ぷらそば,900,熊肉そば,1200,福井県産の玄そばを使い、石臼で製粉した二八そばを提供。山合の一軒、高台でのどかな風景が楽しめます。,36.1665474,136.332422
アイビー,910-0243,福井県坂井市丸岡町石城戸1－11,0776-66-0052,木曜日,8：00～23：00,,おろしそば,500,,,,,地元丸岡産のそばを使い、十一そば（そば１０：つなぎ１）で打っています。,36.15018,136.271114
そば処　一筆啓上,910-0231,福井県坂井市丸岡町霞町3－1－3　一筆啓上茶屋内,0776-67-1775,年末年始（１２月３１日・１月１日・２日）,10：30～17：00(毎週火曜日14:00まで、冬期16:00まで),,城丸くんセット,830,おろしそば,600,大名ヘルシー御膳,1080,丸岡産早刈り玄そばを石臼挽きしたそば粉を使用。福井名物「ソースカツ丼」とのセットも大好評です。,36.1527837,136.2735456
田舎づくり　膳,910-0304,福井県坂井市丸岡町今福10－25,0776-67-3503,木曜日・第３日曜日,12：00～22：00,,おろしそば,600,,,,,つなぎを一切使わず、大野勝山産のそば粉と湧水のみ使用したすべて手打ちの田舎そばです。,36.1419597,136.2654332
そば処　まどか,910-0363,福井県坂井市丸岡町下安田6－10－5,0776-66-8348,水曜日（祝祭日営業　翌日休業）,11:00-18:30（麺がなくなり次第終了）,,おろしそば,600,天丼（ミニ）,500,天おろしそば,850,契約栽培をした丸岡産のそば粉のみを使用し、だし汁と打水は越前市の名水を使用した、本手打ち蕎麦です。,36.1256116,136.2608149
大野食堂,912-0026,福井県大野市要町3－9,0779-66-2619,水曜日,"11：00～15：00
17：00～20：30",,かつ丼セット（ミニおろし付）,950,天下統一丼,"単900　セット1,100",ラーメン,600,3代続いた店の味を守り、そば・米・野菜など地元産にこだわっています。家族営業ですのでアットホームな雰囲気。お気軽にどうぞ。,35.989385,136.4901274
めん工房　木瀬家,912-0023,福井県大野市中荒井町1丁目804,0779-66-4513,水曜日・第３火曜日,11：00～21：00,,おろしそば,500,,,,,地元大野産のそば粉を使用し、大根は自家栽培、地産地消にこだわっています。,35.9906237,136.4917327
そば処　福そば本店,912-0081,福井県大野市元町11－4,0779-66-2930,水曜日,11：00～14：00,,おろし三昧そば,1560,おく山そば,1280,,,大野産そば粉を100％使用。自家製粉の手打そば。二八そば、十割そばを提供しています。,35.984908,136.490954
手打ちそば処　七間本陣,912-0081,福井県大野市元町3－20,0779-69-7680,月曜日・火曜日,"11：00～14：00
麺が無くなり次第終了",,本陣そば（三間盛り）一の陣,1740,本陣そば（三間盛り）二の陣,1740,本陣そば（三間盛り）三の陣,1740,福井県産のそば粉を使用し、生粉打ち（十割）で御提供します。,35.9854077,136.4881609
名水手打そば　お清水,912-0086,福井県大野市泉町3－8,0779-66-2595,水曜日,"11：00～14：00
17：30～22：00",,おろしそば,500,醤油カツ丼,750,地酒４種飲みくらべセット,650,"大野産そば粉・大野産コシヒカリ・大野の名水にこだわったメニューをご用意。
夕方からはメニュー豊富な居酒屋を営業しております。",35.982236,136.4861695
そばはうす　ゑびすや,912-0035,福井県大野市有明町7－18,0779-66-3093,水曜日,"11：00～14：00
17：00～21：00",,そばグルメ,1550,チキン醤油カツ丼,770,鍋焼きうどん,770,地産地消をこころがけ、だし汁は、しいたけ、4種類のかつお節、利尻の昆布を使用しています。,35.9815031,136.4992457
そば処　梅林,912-0031,福井県大野市月美町2－6,0779-66-3098,火曜日,11：00～21：00,,天おろしそば,950,おもてなし膳,1000,山おろしそば,900,全国放送のTV番組で紹介されたお店で、地元大野産のそば粉を使った手打ちそばを御提供いたします。,35.985047,136.4988819
めん亭　いろは栄,912-0053,福井県大野市春日155－14－1,0779-65-0168,水曜日夜,11:00～13:30（水）、11：00～14：00（月、火、木、金）、11:00～14:30（土、日）/17：00～20：30（水曜日以外）,,玉子かつ丼セット(サラダ、そばorうどん付),980,おろしそば,500,天の羽衣,980,玉子かつ丼セットは、テレビ東京や福井放送でも紹介して頂き県外市外から足を運んでくださるファンが多数いらっしゃいます。,35.9699022,136.5029564
めん処　欅,912-0431,福井県大野市下据31－9－1,0779-66-4622,土・日曜日のみ営業,11：00～19：00,,特製醤油だれ　おろし蕎麦,500,十割蕎麦,550,,,趣味で始めた店で、大野の名水と大野産そば粉にこだわり、本格手打ちで仕上げました。コシのある十割そばも好評です。,35.968112,136.503109
手打そば処　福そば陽明店,912-0016,福井県大野市友江13字,0779-66-6060,水曜日,11：00～21：00,,おろしそば,500,ざるそば,720,,,地元大野産の玄そばを、当店で磨きから選別、丸ヌキ、製粉まで行い、毎日挽きたてのそばを味わえます。,35.9967369,136.4993901
手打そば　どうせき,911-0804,福井県勝山市元町（市役所前通り）,0779-88-0667,水曜日,"11：30～14：00
17：00～20：00",,手打ちおろしそば,480,そばセット（おろしとざる）,1000,かつ丼セット,1150,勝山産玄そばを自家製粉し、つなぎはできるかぎり少なくしています。,36.061656,136.4994564
手打そば　八助,911-0033,福井県勝山市栄町1－1－8,0779-88-0516,木曜日・水曜日夜　（水曜日は昼営業のみ）,"11：00～14：00
17：00～21：00",,おろしそば,470,ザルそば,650,,,そば粉を知り尽くした製粉業が本業。「挽きたて・打ちたて・茹でたて」が自慢です。,36.0627225,136.4982287
やく志屋,911-0801,福井県勝山市沢町2丁目9－10,0779-88-0521,水曜日,11：30～21：00,,勝山おろしそば,650,,,,,勝山産玄そばを自家製粉しています。おろしそばとミニ丼のセットメニューもございます。,36.0649029,136.5025032
越前そば処　勝食,911-0035,福井県勝山市郡町1丁目264番地,0779-88-0519,水曜日,"11：00～20：00
（14:00～17:00準備中あり）
（LO19：45 土日曜日は19：30）麺が無くなり次第終了",,カツ丼セット,1250,天おろしそば,960,とろろおろしそば,760,そばは自家製粉しておりますので、香り、味ともに抜群です。３種類の中から選べるかつ丼とのセットメニューもございます。,36.0698965,136.4950121
めん工房　きふね,911-0803,福井県勝山市旭町2－755,0779-87-2788,月曜日（祝日休業）,11：00～17：00,,勝ち山おろしそば,600,そば定食,900,越前おろしそばおもてなし膳,1050,そばは地元産。地元の食材（地産地消）にこだわっています。たこ焼き風さといもが大好評（小300円、大500円）,36.05194411,136.5132004
食庵　おり田,911-0816,福井県勝山市毛屋町1611,0779-87-3737,火曜日,11：00～19：00,,天ざるそば,1250,天おろしそば,1100,おろしそば,600,勝山産玄そばを丸抜きし石臼で自家製粉。そば粉１０に対してつなぎ２の配合で手打ちにて提供しております。,36.0440001,136.5120447
そば処　まつや,911-0822,福井県勝山市平泉寺町平泉寺65－7,0779-88-2047,無休,10：00～20：00,,そばづくし,2800,おろしそば,600,天ぷらそば,1100,奥越産の玄そばを自家製粉して手打ちしたそばをお出ししています。,36.043482,136.536186
そば処　二男坊,916-0001,福井県鯖江市吉江町512,0778-51-4015,火曜日,11：00～20：00,,あげおろしそば,750,二男坊ランチ,980,おろし三昧そば,1530,毎日変わる天気、気温・湿度を考慮しながら毎日打ちたてのそばを提供しています。,35.9847905,136.1744127
おはぐろ　そば処　惣平,916-0001,福井県鯖江市吉江町18－31－4,0778-52-0896,日曜日,"11：30～14：30
17：00～19：30",,おろしそば定食,850,惣平そば,600,天おろし,850,そばは荒挽きで風味がとてもいいです。自家石臼で挽いている田舎そばです。,35.984357,136.171806
越前塩そば専門店　佐野蕎麦,916-0026,"福井県鯖江市本町2－2－22
藤田ビル１F",,木曜日,"土日祝日　12：00～16：00
月火水金　11：30～14：00
(完売終了)",,塩だけで食べる十割蕎麦三種盛り 大,1500,塩だけで食べる十割蕎麦の刺身 小,1200,ぶっかけおろしそば塩味 すっきり蕎麦,800,「塩だけで食べる三種類の十割蕎麦」と「飲む十割蕎麦」蕎麦～ジュで蕎麦そのものの味と香りを体感ください,35.9456187,136.1851078
そば道場　めん処　食房　藤栄,916-0055,福井県鯖江市上鯖江1－1－15,0778-51-9141,第2日曜日・1月1日・平日の9日、平日の毎週水曜日,"11：30～14：00　（平日）
11：30～14：00 17：30～19：00（土日祝日）",,三種味特得盛そば（カツオ、塩、コンブ味）,1100,塩もりそば（コンブ塩味）,600,越前おろしそば,550,そば道場でそば打ちをして食べてはいかがですか。めん処で３種の麺の太さ、３種のだし汁、お好みでどうぞ。,35.9374643,136.1804501
そば席　御清水庵,915-0069,福井県越前市吾妻3－33,0778-21-5088,月曜日,"11：00～18：30
（生そばが無くなり次第終了）",,おろしそば,600,おろしとろろ,700,,,福井県認定のおいしい水「御清水不動尊」を使用した手打ちそばです。,35.901346,136.170022
そば処　庄境屋,915-0813,越前市京町１丁目1－20,0778-22-0619,木曜日,"11:00～14：30
17：00～19：30",,天おろしそば,900,山菜おろしそば,800,カツ丼セット,1080,創業180年。越前伝統の味福井県産そば粉を使用し、昔ながらの素朴さで落ち着いた雰囲気のある店です。,,
萩乃茶屋,915-0816,福井県越前市小松1丁目6－16,0778-22-1686,水曜日,11：00～19：00,,丼物セットetcかつ丼＋おろしそば,1080,天おろしそば,860,,,おそばの本当の味を知っていただく、手打ちそばで頑張っています。,35.9038009,136.1546424
八田居酒屋,915-0816,福井県越前市小松1丁目8－42,0778-24-1358,日曜日・祝日,"12：00～14：00
17：00～20：00",,おろしそば,600,,,,,少々辛めとなっていますが、とてもおいしいお蕎麦ですのでぜひお越しください。,35.9052008,136.1561533
そば蔵　谷川,915-0815,福井県越前市深草2丁目9－28,0778-23-5001,月曜日・第３日曜日,11：30～14：00,,おろしそば,670,手臼ひきもりそば,900,そばがきぜんざい,700,自家製粉した十割そばに自家栽培した大根をおろして提供しています。,35.9071562,136.159989
農家民宿　加藤さんち,915-0214,福井県越前市赤谷町15－26,0778-42-2248,不定休,11：00～18：00,,,,,,,,自然に恵まれた山ろくの、福井の伝統的古民家で、ゆったりと田舎暮らしや田舎料理をお楽しみください。,35.9192455,136.2855452
リトリートたくら,919-0116,福井県南条郡南越前町古木59－52,0778-45-1310,水曜日(祝日は翌日休業),11：00～14：00,,おろしそば,540,そば定食,950,,,殻ごと挽いたそば粉は、100％今庄産。地元で取れた山芋をつなぎに風味豊かな香り、味、のどごしをどうぞ。,35.7921739,136.2672023
そば処　おばちゃんの店,919-0131,福井県南条郡南越前町今庄9－13,0778-45-1144,"火曜日（祝日営業）
年末年始（12／31～1／3）",10：00～17：00,,天おろし,1030,そば定食,950,今庄セット,850,今庄産の香りよい玄そばを石臼で丹念に挽きシコシコした麺に仕上げております。,35.7813346,136.1979959
越前手打ちそば　新月亭,916-0147,福井県丹生郡越前町内郡14－21,0778-34-0170,月曜日（祝日は翌火曜日）,"11：00～14：00
16：30～21：30（平日）
11：00～21：30（土曜）
11：00～21：00（日祝）",,天おろしそば（冷）,1480,わさびそば（冷）,980,芽かぶそば（冷・温）,880,大野産そば粉使用。コシが強く香りが高いそばを店主自らの自家菜園辛味大根おろしそばを提供しています。,35.9733109,136.1304174
越前二八そば　いろは軒,916-0141,福井県丹生郡越前町西田中16－5－2,0778-34-0007,火曜不定休,11：00～20：00,,日替わり丼セット,860+税,かつ丼セット,"1,050+税",にぎやかそば,"1,200+税",当店のそばは、全国優良そば生産者に輝いた農家から仕入れ、水は天然水を使用し、毎朝打っています。,35.9764105,136.1312645
悠久ロマンの社　朋楽館,916-0206,福井県丹生郡越前町笈松44－3,0778-36-2050,火曜日（夏休み期間は無休）,10：00～16：00,,おろしそば,540,ざるそば,740,とろろそば,740,大自然に囲まれたかやぶきの館で、美味しい十割そばをお召し上がりください。そば打ち体験もどうぞ。,35.9871844,136.0326666
蕎麦屋　竹もり,914-0121,福井県敦賀市野神26－4－11,0770-23-8273,火曜日,"11：00～14：30
17：00～20：00",,おろしそば,800,天ざる定食,1500,ミニ天丼セット,1400,そばは毎朝手打ちで打ってます。辛味大根、ねぎ、天ぷらの野菜は畑で作っています。安心して食べて下さい。,35.6366784,136.0549106
そば処　又八庵,914-0314,福井県敦賀市杉箸79－42,0770-27-1048,"平日休業（平日予約可）
(土・日・祝日のみ営業)",10：00～18：00,,又八,850,戦国そば,850,さくらちらし御膳,1350,県内外のリピーターが数多く「初心忘れず」をモットーに。おいしい十割そばをご堪能ください。地産地消の店。,35.61614,136.1453965
手打ちそば　雪花,914-0028,敦賀市谷25-2-4,0770-22-0187,火曜日,11:00～16:00（麺がなくなり次第終了）,,えび天おろしそば,1000,おろしそば,600,にしんそば,1000,自家製粉で粗挽きしています。もちもち感があり、香りも楽しんで頂けます。,,
手打ちそば　五郎兵衛,917-0045,福井県小浜市加斗29－1－1,0770-52-6553,火曜日,11：00～15：00,,おろしそば,800,そば定食,1100,天おろしそば,1400,丸岡産石臼挽きのそば粉を使用し、イオン水で打ち上げたそばです。風味とこしをお楽しみください。,35.4822137,135.6695003
御清水庵　宮川,111-0053,東京都台東区浅草橋4－10－2 稲垣ビル１Ｆ,03-6795-1192,日曜日・祝日（貸し切り対応いたします）,改定予定です。お問合せください。,,メニュー改定予定,,,,,,石臼自家製粉で本物の越前そばが味わえます。,35.6980837,139.7824822
御清水庵　清恵,103-0022,東京都中央区日本橋室町1－8－2,03-3231-1588,土曜日・祝日,"11：00～14：30
17：00～22：00(平日)
11：30～14：30(日曜)",,おろしそば,850,,,,,凝縮された本物の福井の味が味わえます。東京の中心で福井を感じてください。,35.6844212,139.7749969
笑笑庵,104-0061,東京都中央区銀座2－10－18　東京都中小企業会館B1,03-5565-1500,日曜日・祝日,"11:30～15:00
17:00～22:00（平日）
11:30～20:00（土曜）",,辛味大根おろしそば,990,越前手打ちそば,800,つけ鴨せいろ,1700,そばといえば江戸切りそば。銀座のそばは「笑笑庵」,35.672839,139.7687421
築地　さらしなの里,104-0045,東京都中央区築地3－3－9,03-3541-7343,日・祝日,"11：00～21：45（平日）
11：00～15：00（土曜）",,もりそば,756,おろしそば,1080,鴨南ばん,1944,自家製粉した国産そば粉（大野産など）を手打ちにてご提供しております。一品、酒類もご用意しております。,35.6689258,139.7739613
新橋ときそば,105-0004,東京都港区新橋5-33-3,03-3436-7959,日曜日・祝日,"[月～土] 11：30～14：00
[月～金]17：30～22：00（LO21:30)",,二色ざるセット,1450,越前おろし,1100,茄子汁そば,1200,年間通して7～8割は福井県産のそばを使用しています。細打・太打とも十割です。夜は酒の肴もたくさんあります。,,
牡丹,105-0023,東京都港区芝浦1丁目15－6,03-3452-8821,日曜日・祝日,"11：30～15：00
17：00～22：30",,つけ鴨せいろ,1944,天婦羅せいろ,1944,しばうら（前菜・天婦羅・越前そば・甘味）,2376,懐石料理をそばで締め、粋に楽しむ江戸の通。,35.6475555,139.7528577
京亭,140-0002,東京都品川区東品川1－26－2,03-5479-4329,日曜日・祝日,"11：30～14：00
17：30～22：00(平日)
17：30～22：00(土曜)",,天おろしそば,950,,,,,香り高い福井県のそば粉を二八で打っています。ぜひご賞味ください。,35.620577,139.745511
そば・郷土料理　九頭龍蕎麦,162-0825,東京都新宿区神楽坂3－3－2－1,03-6228-1886,なし,"11：30～14：30（LO14：00）
17：30～23：00（LO22：30 平日）
12：00～21：00(LO20:30 土日祝日）",,越前おろしそば,740,昇龍舞茸天おろし,1380,,,田舎のある人も無い人も何かホッとして癒される地酒や食を通して、明日の活力を頂ける、そんなお店を目指しています。,35.7014987,139.7412012
九頭龍蕎麦　はなれ,162-0825,東京都新宿区神楽坂5－1－2　神楽坂TNヒルズB1,03-6228-1937,なし,"17：00～23：00（LO22：30　平日）
12：00～21：00（LO20：30　日祝）
12：00～23：00(LO22:30 土）",,神楽坂コース,8000,越前おろしそば,800,福井名物浜焼鯖,3000,越前漆器・越前焼・越前和紙等福井の伝統工芸品をふんだんに取り入れた内装、落ち着いた個室で福井のそばと福井の料理をお楽しみ下さい。,35.702063,139.739034
"手打ち　そば玄
（※「ば」の濁点は一つ）",270-1164,千葉県我孫子市つくし野7-16-6,04-7182-5202,木曜日,11:00～20：00,,天せいろ（大車海老と野菜天）,1300,越前おろしそば,800,せいろ,650,福井の玄蕎麦を毎日石臼挽き。「そば玄のせいろを食して幸せ」と言うお客様の顔を浮かべてそばを打っています。,,
そば席　御清水庵　あん彦,249-0006,神奈川県逗子市逗子4－1－21－1F,046-845-7770,火曜日,"11：00～15：00（LO14:30）
17：00～21：30（LO21:00)",,天ぷらおろしそば,1334＋税,にしんそば,953+税,出汁巻き卵,572+税,神奈川で“ふるさとの味”。大根たっぷりのおろしそばをお楽しみください。,35.2953781,139.5817144
寿司実本店,425-0064,静岡県焼津市三和1167－2,054-624-3030,水曜日,"11：00～14：00
17：00～22：00",,特寿司手打そば定食,2300＋税,レディスセット（手打ちそば、にぎり小鉢、赤だし、アイスクリーム付）,1100＋税,手打そば（おろし又はざる）,750＋税,福井県産そば１００％使用。１０割、手打ちそばです。,34.8279924,138.29781
ほていや,491-0043,愛知県一宮市真清田1－1－1,0586-72-4782,水曜日,"11：00～14：30
17：00～20：00",,白海老の天ざるそば,1150,にしんそば,980,名古屋コーチン  つけ麺ざるそば,1030,細打ち仕上げの「二八そば」。ｺｼがあり、食感・のど越しが良く、お客様から大好評です。,35.30658,136.800448
味処　越前,462-0835,愛知県名古屋市北区杉村1丁目17－8,052-981-8577,火曜日,"11：00～14：00
17：00～21：00",,おろしそば,650,おろしそばとミニソースかつ丼,1050,そばがき,820,福井県産特上そば粉、本枯節、昆布、椎茸など食材と味にこだわり、お客様が食べて喜ぶそばを打ち続けます。,35.1904877,136.9230766
そば処　福ふく庵,922-0024,石川県加賀市大聖寺永町142－2,0761-73-2678,土曜日,11：00～14：00,,おろしそば（並）,600,生姜ぶっかけそば（並）,600,そば定食,1000,そばは、気持ちを込めて手打ちをし、出汁は、電解水素水を使用。おいしく仕上がっています。また、当店自慢の生姜ぶっかけそばを、ぜひどうぞ。,36.30791921,136.3215619
手打蕎麦　だんくら,922-0132,石川県加賀市山中温泉中津原町ハ124－6,,火曜日,11：00～16：00,,おろしとろろそば,800,おろしそば,650,にしんそば,900,そばは、丸岡産の早刈りを当店の石臼で手挽きしたものと大野産の早刈りをブレンドしたそばです。,36.2618067,136.3979509
越前そばと素朴手料理　独活庵(うどあん),550-0012,大阪府大阪市中央区船場中央2－1－4B215,06-6263-1123,日曜日・祝日,"11：20～15：30
17：00～22：00(LO21：00/平日)
11：20～15：30(LO14：45/土曜日)",,粗挽き田舎そば,800,越前辛味おろしそば,950,丹波鴨汁そば,1400,福井県産の玄そばを使い、そばの香りや風味豊かな麺を打っております。,34.6818752,135.5058318
そば酒房　蕎喜　SOBAKI　（※喜は七が３つ）,550-0012,大阪府大阪市西区立売堀1丁目13－14,06-6534-1381,日曜日,"11：30～14：30　17：30～23：00(平日)
12：00～14：30　18：00～22：00（土祝日）",,越前おろしそば,950,鴨なんば,1300,めかぶとろろそば（温）,850,大野産のそば粉を二八に仕上げます。大野荒島岳で採れる岩魚の骨酒は絶品！塩焼きもあります。花らっきょ、さば、へしこ、福井名産品、酒は一本義が定番。,34.6797892,135.4934302
