カウンターID,最終情報更新日,廃止フラグ,承認年月日,廃止年月日,事業者名（日本語）,事業者名（英語）,事業者住所_郵便番号,事業者住所_都道府県コード,事業者住所_市町村コード,事業者住所_大字丁目・番地等（日本語）,事業者住所_大字丁目・番地等（英語）,カウンター名称（日本語）,カウンター名称（英語）,カウンター住所_郵便番号,カウンター住所_都道府県コード,カウンター住所_市町村コード,カウンター住所_大字丁目・番地等（日本語）,カウンター住所_大字丁目・番地等（英語）,カウンター住所_建物階層,カウンター住所_緯度,カウンター住所_経度,カウンター住所_施設類型,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（日本語）,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（英語）,カウンター電話番号,外部リンクＵＲＬ,営業時間_月曜日_開始時間,営業時間_月曜日_終了時間,営業時間_月曜日_定休日フラグ,営業時間_火曜日_開始時間,営業時間_火曜日_終了時間,営業時間_火曜日_定休日フラグ,営業時間_水曜日_開始時間,営業時間_水曜日_終了時間,営業時間_水曜日_定休日フラグ,営業時間_木曜日_開始時間,営業時間_木曜日_終了時間,営業時間_木曜日_定休日フラグ,営業時間_金曜日_開始時間,営業時間_金曜日_終了時間,営業時間_金曜日_定休日フラグ,営業時間_土曜日_開始時間,営業時間_土曜日_終了時間,営業時間_土曜日_定休日フラグ,営業時間_日曜日_開始時間,営業時間_日曜日_終了時間,営業時間_日曜日_定休日フラグ,営業時間_その他（日本語）,営業時間_その他（英語）,対応可能言語_英語フラグ,対応可能言語_中国語（簡体字）フラグ,対応可能言語_中国語（繁体字）フラグ,対応可能言語_韓国語フラグ,対応可能言語_タイ語フラグ,対応可能言語_その他（日本語）,対応可能言語_その他（英語）,免税店プラグ,JNTO観光案内所フラグ,一時預かりフラグ,一時預かり_料金_固定,一時預かり_料金_変動上限値,一時預かり_料金_変動下限値,一時預かり_取扱可能品目_スーツケースフラグ,一時預かり_取扱可能品目_クール品フラグ,一時預かり_取扱可能品目_土産品フラグ,一時預かり_取扱可能品目_3辺長合計上限値,一時預かり_取扱可能品目_最大重量上限値,一時預かり_取扱可能品目_取扱金額上限値,一時預かり_取扱可能品目_その他（日本語）,一時預かり_取扱可能品目_その他（英語）,一時預かり_補償内容_取扱金額上限値,一時預かり_補償内容_その他（日本語）,一時預かり_補償内容_その他（英語）,配送_当日配送フラグ,配送_当日配送_料金_固定,配送_当日配送_料金_変動上限値,配送_当日配送_料金_変動下限値,配送_当日配送_取扱可能品目_スーツケースフラグ,配送_当日配送_取扱可能品目_クール品フラグ,配送_当日配送_取扱可能品目_土産品フラグ,配送_当日配送_取扱可能品目_3辺長合計上限値,配送_当日配送_取扱可能品目_最大重量上限値,配送_当日配送_取扱可能品目_取扱金額上限値,配送_当日配送_取扱可能品目_その他（日本語）,配送_当日配送_取扱可能品目_その他（英語）,配送_当日配送_補償内容_取扱金額上限値,配送_当日配送_補償内容_その他（日本語）,配送_当日配送_補償内容_その他（英語）,配送_当日配送_受付時間〆切,配送_当日配送_最終配送時間,配送_当日配送_配送先（日本語）,配送_当日配送_配送先（英語）,配送_一般配送フラグ,配送_一般配送_料金_固定,配送_一般配送_料金_変動上限値,配送_一般配送_料金_変動下限値,配送_一般配送_取扱可能品目_スーツケースフラグ,配送_一般配送_取扱可能品目_クール品フラグ,配送_一般配送_取扱可能品目_土産品フラグ,配送_一般配送_取扱可能品目_3辺長合計上限値,配送_一般配送_取扱可能品目_最大重量上限値,配送_一般配送_取扱可能品目_取扱金額上限値,配送_一般配送_取扱可能品目_その他（日本語）,配送_一般配送_取扱可能品目_その他（英語）,配送_一般配送_補償内容_取扱金額上限値,配送_一般配送_補償内容_その他（日本語）,配送_一般配送_補償内容_その他（英語）,配送_一般配送_配送先_全国各地発送フラグ,配送_一般配送_配送先_その他（日本語）,配送_一般配送_配送先_その他（英語）,配送_海外配送フラグ,配送_海外配送_料金_固定,配送_海外配送_料金_変動上限値,配送_海外配送_料金_変動下限値,配送_海外配送_取扱可能品目_スーツケースフラグ,配送_海外配送_取扱可能品目_クール品フラグ,配送_海外配送_取扱可能品目_土産品フラグ,配送_海外配送_取扱可能品目_3辺長合計上限値,配送_海外配送_取扱可能品目_最大重量上限値,配送_海外配送_取扱可能品目_取扱金額上限値,配送_海外配送_取扱可能品目_その他（日本語）,配送_海外配送_取扱可能品目_その他（英語）,配送_海外配送_補償内容_取扱金額上限値,配送_海外配送_補償内容_その他（日本語）,配送_海外配送_補償内容_その他（英語）
0000000011,20150727,0,20150727,,株式会社ＪＴＢ,JTB Corp.,1400002,13,1091,東品川２－３－１１,2-3-11 higashishinagawa,関西ツーリストインフォメーションセンター京都,KANSAI TOURIST INFORMATION CENTER KYOTO,6008216,26,1009,下京区烏丸通七条下ル東塩小路町７２１－１京都タワー３階,"3F KYOTO TOWER,721-1,Higashi-Shiokoji-Cho,Shichi-Jo Sagaru,Karasuma-dori,Shimogyo-Ku",3,34.987506,135.759338,05,,,0753410280,http://www.tic-kansai.jp/ja/kyoto/,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,0,0,0,0,,,,,1,400,,,1,,1,,,,,,,責任限度額５万円まで補償,"Compensation up to 50,000 yen",1,,1500,800,1,,1,,,,,,,責任限度額５万円まで補償,"Compensation up to 50,000 yen",1400,2100,宿泊施設（都道府県名：京都市市内、京都府（宇治市・亀岡市）、滋賀県（大津市のみ）、大阪市内）,"Hotel (Kyoto city,Uji city,Kameoka city,Otsu city,Osaka city)",1,,,,1,,1,,,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000012,20240902,1,20150727,20240815,ヤマト運輸株式会社,"YAMATO TRANSPORT CO., LTD.",1048125,13,1024,銀座２－１６－１０,2-16-10 Ginza ,ＭＩＤＯＲＩ長野駅センター,MIDORI Nagano Station Center,3800823,20,2011,南千歳１－２２－６　ＪＲ長野駅ビルＭＩＤＯＲＩ　２階,2F JR Nagano Station MIDORI Bldg. 1-22-6 Minami Chitose ,,36.643159,138.188131,02,,,,,0900,2000,0,=入力フォーム!AY74,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,,,1,0,0,0,0,,,,,1,500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1100,1800,長野県長野市内・山ノ内町内のホテル／旅館,Hotels in Nagaono city and Yamanouchi town,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000013,20170804,1,20150727,20220401,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,新横浜駅観光案内所（新横浜駅改札階）,Shinyokohama Station Tourist Information,2220033,14,1003,港北区新横浜２－１００－４５,"2-100-45, Shinyokohama, Kohoku-ku",2,35.507912,139.617584,02,ＪＲ新横浜駅（新横浜中央ビル２Ｆ）,JR Shin-Yokohama Station (Shin-Yokohama Chuo Bldg. 2F),0454732895,http://www.kuronekoyamato.co.jp/en,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,,,1,0,0,0,0,,,1,2,1,500,,,1,,1,160,25,300000,,,300000,,,1,,2030,907,1,,1,160,25,300000,,,300000,,,1300,,駅（桜木町駅・東京駅）、宿泊施設（首都圏）　　　,"Sakuragicho Station,Tokyo Station,Hotel (metropolitan area)",1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000014,20170804,1,20150727,20220414,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,桜木町駅観光案内所（ＣＩＡＬ桜木町）,Sakuragicho Station Tourist Information  Cloak service,2310062,14,1003,中区桜木町１－１,"1-1, Sakuragicho, Naka-ku",,35.450563,139.631282,02,ＪＲ桜木町駅（ＣＩＡＬ桜木町）,JR Sakuragicho Station (CIAL Sakuragi-cho),0452110111,http://www.kuronekoyamato.co.jp/en,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,,,1,0,0,0,0,,,1,3,1,500,,,1,,1,160,25,300000,,,300000,,,1,,2030,907,1,,1,160,25,300000,,,300000,,,1200,,駅（桜木町駅・東京駅）、宿泊施設（首都圏）　　　,"Sakuragicho Station,Tokyo Station,Hotel (metropolitan area)",1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000015,20240902,0,20150727,,ヤマト運輸株式会社,"YAMATO TRANSPORT CO., LTD.",1048125,13,1024,銀座２－１６－１０,2-16-10 Ginza ,金沢片町営業所,Kanazawa Katamachi Office,9200971,17,2014,片町１－３－１３,1-3-13 Kata Town,,.,.,#N/A,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000016,20240902,1,20150727,20240815,ヤマト運輸株式会社,"YAMATO TRANSPORT CO., LTD.",1048125,13,1024,銀座２－１６－１０,2-16-10 Ginza ,尾道手荷物預かり所,Onomichi Luggage Deposit Office,7220036,34,2050,東御所町９―１,Higashigosho-cho 9-1,,34.403329,133.192881,03,尾道駅徒歩２分,Onomichi Sta. 2 Minutes on foot,08050940761,,0800,1800,0,=入力フォーム!AY74,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,年中無休で営業,Open all year round,1,0,0,0,0,,,,,1,500,,,1,2,1,,,300000,,,300000,,,1,,2030,907,1,2,1,,,300000,,,300000,,,1100,1900,尾道市内,In the Onomichi-City,1,,2030,907,1,2,1,,,300000,,,300000,,,1,一部地域は翌日配送不可,some areas can not be deliverd the next day,0,,,,,,,,,,,,,,
0000000017,20200131,1,20150727,20200131,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,クロネコヤマトＯ－ＣＡＴセンター,Kuroneko Yamato O-CAT Center,5560022,27,1004,浪速区湊町１－４－１ＯＣＡＴビル２階,"minatomachi 1-4-1,naniwa-ku",2,34.666524,135.495140,08,ＪＲ難波駅直結,Direct connection to JR Namba Station,0666310256,http://www.kuronekoyamato.co.jp/en,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,0800,1800,0,,,1,1,1,1,0,,,1,1,1,500,,,1,,1,,,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000018,20170804,1,20150727,20220531,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,嵐電嵐山駅センター,Randen Arashiyama Center,6168384,26,1009,右京区嵯峨天龍寺造路町２０－２嵐電嵐山駅構内,"20-2,tsukurimichi-cho,Sagatenryuji,Ukyo-ku",,35.015048,135.678004,02,嵐電嵐山駅構内,In Randen Arashiyama Station,0120019625,http://www.kuronekoyamato.co.jp/en,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,,,1,1,1,1,0,,,1,1,1,500,,,1,,1,,,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000019,20181206,1,20150726,20210625,ヤマト運輸株式会社,"YAMATO TRANSPORT CO., LTD.",1048125,13,1024,銀座２－１６－１０,2-16-10 Ginza ,くろねこ京案内,Kuroneko Tourist Information Counter,6050828,26,1009,東山区金園町３９１－３,"391-3 Kinen-cho, Higashiyama-ku",,34.998596,135.778979,05,祇園四条駅徒歩１７分／清水五条駅徒歩１７分／市バス「清水道」下車徒歩３分,"Gion Shijo Sta.(17 min walk),Kiyomizu Gojo Sta.(17 min walk),Kiyomizu-michi bus stop(3 min walk)",0120019625,http://www.global-yamato.com/en/hands-free-travel/facilities/gion-shijo_station.html,1000,1800,0,,,1,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,,,1,1,1,1,0,,,,3,1,500,,,1,2,1,160,25,300000,物品の性質が本サービスによる保管に適さないもの（手荷物預かり規約に準ずる）,Depending on baggage storage policy,300000,,,0,,,,,,,,,,,,,,,,,,,1,,3982,807,1,1,1,160,25,300000,現金、有価証券、危険品（宅急便約款に準ずる）,Depending on TA-Q-BIN Terms and Conditions,300000,,,1,一部地域は翌日配送不可（サービスレベル参照）,some areas can not be delivered the next day,0,,,,,,,,,,,,,,
0000000020,20200525,1,20150727,20200331,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,ならＴＡＢＩセンター,Kuroneko Nara TABI Center,6308218,29,2010,樽井町１４,14 Tarui-cho,,34.681923,135.829404,05,,,0120019625,http://www.kuronekoyamato.co.jp/en,0930,1800,0,0930,1800,0,0930,1800,0,0930,1800,0,0930,1800,0,0930,1800,0,0930,1800,0,,,1,0,0,0,0,,,1,1,1,500,,,1,,1,,,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000021,20170804,0,20150727,,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,パシフィコロジスティクスセンター（パシフィコ横浜展示ホール２Ｆコンコース）,PACIFICO Logistics Center,2200012,14,1003,西区みなとみらい１－１－１,"1-1-1, Minatomirai, Nishi-ku",2,35.457601,139.636615,07,,,08066993349,http://www.kuronekoyamato.co.jp/en,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,,,1,0,0,0,0,,,1,3,1,500,,,1,,1,160,25,300000,,,300000,,,1,,2030,907,1,,1,160,25,300000,,,300000,,,1200,,駅（桜木町駅・東京駅）、宿泊施設（首都圏）　　　,"Sakuragicho Station,Tokyo Station,Hotel (metropolitan area)",1,,4082,907,1,,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
