区分,店舗名,認証のメニュー名,認証メニュー数,店舗数,認証のメニューのPRポイント,住所,電話番号,営業時間,休業日,備考,緯度,経度
飲食店,大野市健康保養施設あっ宝んど,,,1,,大野市南新在家26-101,0779-66-7900,11:00～22:30　,毎月第2火曜日※祝日の場合は翌日に振替,,36.012305,136.512903
飲食店,御食国若狭おばま濱の湯,,,1,,小浜市川崎3-4食文化館内,0770-53-4126,11:00～23:00,毎月第3水曜日※祝日の場合は翌日に振替,,35.501367,135.737689
飲食店,越のゆ敦賀店,,,1,,敦賀市木崎13号松ノ角10,0770-21-4126,8:00～23:00,年中無休,,35.640616,136.046891
飲食店,浅田クッキングスクール直営クイーンアリス,日替わりおまかせランチ,2,1,浅田CSの栄養士が食事のバランスを考えて提供しています。新鮮な野菜や素材の味を活かした健康ランチです。,福井市町屋1-5-31,0776-25-3605,11:30～15:00（ﾗｽﾄｵｰﾀﾞｰ14:00）,土、日、祝祭日、お盆、正月、浅田クッキングスクール貸切日,,36.108441,136.294129
飲食店,おいCネット（社会福祉法人コミュニティーネットワークふくい）,おろしそばミニソースカツセット,1,1,自家製のソースカツとしこしこのそばでおいCネット大人気メニューです。,福井市南居町81-1-31,0776-33-8353,11:00～14:00,日、祝日、第2・4土曜日,,36.129599,136.217894
飲食店,かあちゃんキッチン,かあちゃん弁当,1,1,地場野菜を使ったおふくろの味。JAの五月晴しょうゆを使っているので、見た目より塩分が少なくできている。,福井市渕2丁目2711,0776-36-5811,11:00～14:00,日曜日,,36.170066,136.130486
飲食店,カフェ＆ランチサニースマイル（社会福祉法人竹伸会総合福祉施設あけぼの園）,季節の日替定食、ユー・アイ弁当、ふれ愛弁当,10,1,福井で馴染みのある食材を利用して心と体がホッとする家庭的な味が楽しめます。,福井市下六条町14-1福井県生活学習館1階,0776-41-2566,9:00～11:00（モーニング）、11:00～14:30（ランチ）、14:30～16:30（ティータイム）,毎週月曜日（但し、祭日の場合は翌日）,,35.972893,136.489416
飲食店,釜蔵,釜蔵御膳,1,1,和食がいろいろ堪能できる御膳,福井市中央1-8-1西武福井店本館8階,0776-28-8282,10:30～19:30オーダーストップ19:00,なし,,35.984488,136.491647
飲食店,企業組合まぁま喜ね舎（喜ね舎愛菜館）,健幸美食弁当,1,1,昔懐かしいお惣菜が入っています。「安心でおいしい」を大切に、新鮮な野菜を使って作っています。,福井市河増町9字10-1,0776-52-2260,夏8:30～18:00、冬8:30～17:30,水曜日,,36.06523,136.256439
飲食店,県議会食堂あすわ（あすわ就労支援センター）,べっぴんランチ、1鮭の胡麻付き焼き、2ささみのチキンカツ、3あじのピカタ、4鮭の南蛮漬け、5鶏もの肉のワイン煮,5,1,ヘルシーでボリュームたっぷり！日替わりバイキング,福井市大手3丁目17-1,0776-20-0532,11:30～13:30,土日・祝祭日,,35.953225,136.273881
飲食店,国民宿舎鷹巣荘,鷹巣おとと定食,1,1,海の幸を使った健康定食です。それに里芋などを添えてみました。,福井市蓑町3-11-1,0776-86-1111,11:30～14:00（ﾗｽﾄｵｰﾀﾞｰ）、18:00～20:00（ﾗｽﾄｵｰﾀﾞｰ）,年中無休,,35.966396,136.18801
飲食店,笏谷そば,三姉妹そば,1,1,NHK大河ドラマ「江」放送時にデビューした三種割子そば,福井市中央1-8-1西武福井店本館8階,0776-28-8285,10:30～19:30オーダーストップ19:00,なし,,35.945269,136.179956
飲食店,そば音市楼かくれ庵,1ネバネバとろろぶっかけそば、2薬膳蕎麦,2,1,福井県産そばでヘルシーに。さらにネバネバ野菜でおいしさもアップ！,福井市下馬2-1906-5,0776-33-5838,ランチ11:30～14:30、ディナー（月・木）17:00～20:00（ＬＯ）（金）17:00～21:00（ＬＯ）土・日・祝11:30～21:00,毎週火曜日、第1月曜日,,35.950265,136.177075
飲食店,福井県立病院レストランさくら（（株）さくら）,福井県産コシヒカリと昇竜まいたけのかき揚げ丼定食,1,1,福井県産昇竜まいたけをたっぷりと使いまいたけの香りのする大きいかき揚げの乗ったどんぶりです。小鉢にも福井らしい食材を使い福井の食材をふんだんに使った献立です。,福井市四ツ井2丁目8-1福井県立病院2階,0776-54-5775,平日8:00～19:00、土日8:00～17:00,1月1日、2日,,35.957643,136.289455
飲食店,福福館,福井名物セット,1,1,福井の名物が一回で味わえるお得な定食です。,福井市中央1-2-1ハピリン内,0776-20-2929,11:00～22:00,ビル全体に準ずる,,36.061271,136.221971
飲食店,ユアーズレストラン水仙（（株）ユアーズホテルフクイ）,ふくいポークの生姜焼きセット,1,1,済生会病院栄養士の方と考案した健康定食,福井市和田中船橋7-1福井県済生会病院1階,0776-28-6162,8:30～18:30,なし,,35.920607,136.143174
飲食店,道の駅禅の里,禅の里健幸定食,1,1,福井県産おろしそばと、永平寺町産玉ねぎ、ニンニクをたっぷり使用した本格スパイスカレーの名物メニューを味わえます！,吉田郡永平寺町清水2-2-1,0776-64-3377,特産物コーナー10時～19時、飲食コーナー10時～17時,第３水曜日、年末年始,,36.080146,136.39912
飲食店,レストランWING,福井大学栄養部監修ヘルシー弁当,8,1,テーマは「美味しく食べて健康になる」タンパク質や塩分などの栄養素や食品の適正なバランスを考慮しています。総カロリーも600kcal以内に抑えてますが、食べ応え満点です。,吉田郡永平寺町松岡下合月23-3　福井大学医学部附属病院内,0776-61-1787,平日10:30～15:00、土日祝11:00～14:00,年末年始,,36.108441,136.294129
飲食店,味のよしだやしのぶ庭,カレイ煮定食,1,1,バランスのとれた御膳になっています。,あわら市春宮1丁目8-13,0776-73-0006,11:00～14:00、17:00～22:00,日曜日,,35.889276,136.199063
飲食店,洋食源の屋,オムライス　サラダセット,1,1,老舗洋食屋の名物オムライス。,あわら市温泉1-405,0776-77-2045,10:00～14:00、17:00～20:00,水曜日,,35.933375,136.164029
飲食店,味処けやき,福井ポーク信田巻・そばがき,1,1,お子様から年配の方まで召し上がれます。,坂井市坂井町蔵垣内34-14-1,0776-72-3001,10:00～21:00,月曜日※祝日の場合は翌火曜日,,35.832073,136.207647
飲食店,魚志楼,秋の紅葉美食膳,1,1,野菜中心のヘルシーなメニュー。見た目もきれいに仕上げました。,坂井市三国町神明3-7-23,0776-82-0141,11:30～14:00、18:00～22:00,不定休,,35.651183,136.073344
飲食店,カフェ小春日和,小春ランチ,1,1,県産の野菜がふんだんに使用されたヘルシーなランチ,坂井市春江町江留下高道169,0776-43-9982,月・水・木・日11:00～18:00、金・土11:00～22:00,火曜日,,36.129599,136.217894
飲食店,企業組合ハンドメイド風ふう（永平寺四季食彩館れんげの里、福井県立病院売店）,美緑弁当,1,1,地場野菜をたくさん使っています。,坂井市丸岡町鳴鹿3-148,0776-97-8161,9:30～19:00,なし,,35.494021,135.758346
飲食店,はま郷,おふくろ膳,1,1,地元の新鮮野菜で作る家庭料理の店。野菜中心なのでたっぷり食べてもヘルシーです。,坂井市三国町米納津10-15,0776-82-3537,ランチ土・日・祝日11:30～14:00、弁当火～金曜日,月曜日,,36.170066,136.130486
飲食店,うおまさcafe,おおの健幸美食ランチ、熟成鯖の美食ＳＫ（醤油カツ丼）,2,1,石塚左玄の食養と、ヘルシーでコラーゲン豊富な魚の身体に嬉しい健康ランチ。香ばしく揚げた熟成鯖と地場野菜をたっぷり。醤油カツ丼専用醤油と雑穀米の歯ごたえも相性バッチリです。,大野市明倫町9-10,0779-66-2745,ランチ月、水、木11:30～14:00、カフェ月、水、木10:00～18:00、金土10:00～22:00,毎週火曜日、毎月第1・3・5日曜日,,36.048924,136.203815
飲食店,Cafe Name came Ono（カフェ　ナマケモノ）,秋満喫ナマケモノランチ（1日限定10食）、10種の具材の醤油カツ丼,2,1,旬のサンマや野菜をたっぷり使った料理をカフェメニューに。大野のおいしい食材で秋を満喫してください。野菜をたっぷり食べるをコンセプトに、ヘルシーにガッツリどうぞ。,大野市篠座町7-2,,11:00～18:00、18:00～22:00,不定休,,35.972893,136.489416
飲食店,社会福祉法人紫水の郷,しすい弁当,1,1,地元の食材や旬の素材にこだわり、心を込めて作るお弁当です。秋の恵みを日替りでお楽しみください。,大野市中野56-1-1,0779-66-7000,AM9:45注文締切,土日・祝祭日,,36.079401,136.197852
飲食店,ぶなの木（社会福祉法人紫水の郷）,野菜たっぷり煮込みハンバーグ,1,1,地元産の野菜をふんだんに使用！ハンバーグの中にも野菜を練り込みました。,大野市天神町1-19結とぴあ内,0779-66-7373,10:00～18:00、ランチタイム11:30～14:00,土日、月曜日は不定休,,36.061992,136.203357
飲食店,平成大野屋はいから茶屋,越前おおの田舎定食,1,1,厚揚げは特注の豆腐を店内で揚げています。里芋や舞茸など、奥越の秋の恵みと併せてお楽しみください。,大野市元町1-2,0779-69-9200,9:00～18:00、食事平日11:00～14:00、土日11:00～15:00上記以外は喫茶のみ,火曜日,,36.063443,136.244042
飲食店,レストランマシェリ,ヘルシーしょうゆカツ丼,1,1,雑穀ごはんにたっぷり野菜！女性だけじゃなく男性にもオススメ！！,大野市元町11-12,0779-65-5959,11:30～22:00,第1・3・5日曜日、第2・4月曜日,,35.984488,136.491647
飲食店,カフェ＆レストランディノ,ふくい彩り御膳,1,1,秋らしい食材、県内産の食材をふんだんに使用した御膳。,勝山市村岡町寺尾51-11県立恐竜博物館内,0779-87-1109,9:00～17:00（LO16:30）,恐竜博物館休館日に準ずる,,36.083219,136.506537
飲食店,イル・ヴィゴーレ,美食プレートランチ,1,1,福井の食材と「ヘルシー」プラス「食事」を８階の景色とともにお楽しみください。,鯖江市桜町3-3-3サバエ・シティーホテル8階,0778-53-1122（直52－1102）,11:00～14:00、18:00～20:30,火曜日,,,
飲食店,喫茶椀椀,椀椀ランチ,1,1,地元で採れた物がいっぱいのランチ。安心な旬の野菜、減農薬のこしひかり米。器も地元の越前漆器を使用。,鯖江市西袋40-1-2うるしの里会館内,070-5145-8101,9:30～16:30、ﾗﾝﾁﾀｲﾑ11:30～13:30,火曜日,,35.953225,136.273881
飲食店,ぐるめし健康club,ゆうき,1,1,地場産のゆうき野菜をふんだんに使用した体に優しいお弁当です。,鯖江市桜町2丁目9-27,0778-51-2298,8:00～16:00,土曜、日曜,,36.084148,136.222069
飲食店,cafe＆lunchここる,ヘルシーランチ,1,1,自家農園で栽培した無農薬、有機栽培の野菜や鯖江産の野菜をたっぷり使ったなつかしい「おふくろの味」のランチです。あげをたっぷり使うことによって福井らしさをだしました。,鯖江市桜町2-7-1　鯖江市嚮陽会館内,0778-54-0553,10:00～18:00、ランチ11:30～14:00,火曜日(火曜日が祝日の場合は営業翌日）,,36.052342,136.244057
飲食店,鯖江第一ホテル,朝食（健康）,1,1,一から完全手作りにこだわり、県内食材にもこだわった食事です。,鯖江市新横江1丁目116,0778-54-0111,朝食7:00～9:00,なし,,35.963466,136.176036
飲食店,スローベリィ,ベジタブルランチ,1,1,成人が1日に必要な野菜の量350ｇの半分が一度に取れるよう県産の旬の野菜を使った日替わりメニュー。肉、魚といった動物性脂肪は使用していません。自家製マヨネーズ、果物ドレッシングを使用しています。,鯖江市水落町2-28-25,0778-25-0141,イートイン11:00～17:30（17:00ラストオーダー）、ショップ10:00～19:00,水曜日,,35.868167,136.169414
飲食店,ＢＥＡＵＴＹ＆ＣＡＦＥＪＵＲＡＫＵ,カフェのこだわり満足ランチ,1,1,なかなか摂れない野菜が１０品目以上摂れます。お米はこしひかり１００％。,鯖江市下河端町4-6-1,0778-52-8300,9:00～19:00,月曜日,,35.966396,136.18801
飲食店,富士屋会館Restaurant&CafeFuji,さばえ菜花米とふくい花籠膳,1,1,福井県産食材を取り入れ、３０品目を一度にお召し上がり頂ける、身体喜ぶヘルシー御膳です。,鯖江市桜町2丁目2-22,0778-51-4618,10:00～21:00,なし,,35.945269,136.179956
飲食店,フレッシュランチ３９（株式会社すみよし）,和風弁当,1,1,毎日、日替わりのお弁当をお昼に提供させていただいています。,鯖江市水落町8-24-6,0778-52-6660,8:00～16:00,日曜日,,35.975687,136.194128
飲食店,green parlourベルベール鯖江店,日替わりランチ,1,1,肉や魚介を使ったメイン料理を５種類日替わりで提供。野菜やお米など積極的に地産地消を心がけています。,鯖江市小黒町1-5-3,0778-52-3888,9:00～23:00（ﾗｽﾄｵｰﾀﾞｰ22:30）,火曜日（祝日の場合翌日）,,35.950265,136.177075
飲食店,有限会社浪慢館,ふくいの幕の内弁当,1,1,地元の食材や、伝承料理を取り入れたお弁当です。,鯖江市寺中町21-13-1,0778-65-1981,6:00～16:00（注文により対応）,なし,,35.957643,136.289455
飲食店,道の駅「越前」お食事処かねいち,越前さわら定食,1,1,越前産の新鮮な鰆をたたきと味噌焼きに。味噌焼きは酒粕を加え減塩。鰆のたたきが食べれるのは当店のみ!,丹生郡越前町厨71-335-1道の駅越前1階,,9:00～17:00,火曜日、冬季（11～3月）第2・4火曜日,,35.919857,135.997356
飲食店,レストラン・オタイコ,オタイコ響定食,1,1,「おたとうふ」を使った体に優しいヘルシー定食をご賞味ください。ご飯の量は調整できます。,丹生郡越前町下河原37-19-1オタイコヒルズ内,0778-36-2061,11:00～14:00,月曜日,,36.061309,136.221235
飲食店,お食事処車前草,日替わりおまかせ定食,1,1,地産地消の野菜を中心に数多く取り入れ、副菜を２～３品家庭の味を心がけて作っています。,越前市片屋町55-11-1,,12:00～14:00、18:00～22:00,不定休,,35.920607,136.143174
飲食店,coco.malia,マクロビ日替わりランチプレート,1,1,福井では珍しいマクロビオティックのランチ。ココロもカラダも軽くなる野菜料理の数々。お楽しみください。,越前市押田1-3-20,0778-21-2205,ランチ11:30～14:00、カフェ14:00～17:00、夜19:00～25:00,水曜日,,35.907729,136.186112
飲食店,（株）武生製麺（越前そばの里）,越前屋健康ランチ,3,1,自社農場産のそばを使用。他にも福井県産の食材を使い、老若男女問わずおすすめしたいランチに仕上げました。,越前市真柄町7-37,0778-22-0272,9:00～16:30,1/1～1/3,,36.084604,136.242601
飲食店,紫式部公園藤波亭,味の週間ヘルシーランチ,1,1,真心をこめて作ったヘルシーメニューです。,越前市東千福町21-12,0778-22-7133,11:30～15:00,火曜日,,35.890253,136.156634
飲食店,ライブスタジオアラベスク,アラベスクランチ,1,1,皮取り国産ムネ肉を使用して低カロリー高タンパク質をと思って作っています。全て手作りで、地元の野菜を使用しています。,越前市庄田町9-50,0778-22-9638,12:00～22:00,火曜日夜,,35.889276,136.199063
飲食店,レストランマイルイ,とん丼,1,1,越前市の越前旨香豚をたっぷりの野菜と一緒に甘酢ソースでさっぱりとヘルシーに召し上がっていただけます。,越前市家久町46-13-1,0778-22-2199,9:00～22:00,木曜日,,35.933375,136.164029
飲食店,ワークホームそら,越前市のコシヒカリと野菜を食べるお弁当,1,1,福井県産（越前市）のコシヒカリを使用。地元の野菜を取り入れた秋の味覚をお楽しみください。,越前市国高2丁目42-6,0778-43-5510,11:00～13:00（予約8:30～17:00）,土・日・祝日,,36.115069,136.222033
飲食店,関亭,南条健幸美食弁当、関亭ヘルシー御膳,2,1,地元の野菜をたくさん使った野菜たっぷりの弁当。地元でとれた魚の刺身が食べられる弁当。,南越前町上野20-52,0778-47-2873,8:00～24:00　,不定休,,35.832073,136.207647
飲食店,ギャラリー＆カフェレストみらいばこ,ワンプレートランチ,1,1,「食は命」と考え、極力無肥料、無農薬の野菜、調味料も無添加の物を使用し、砂糖を一切使用していません。,敦賀市呉竹町1丁目41-15-101,0770-23-5571,10:00～17:00,土・日・祝,,36.044275,136.510317
飲食店,惣菜ヘルシー,「ふくい健幸美食」弁当,1,1,「安全・安心・健康」を大切に家庭的な味付けと手作りにこだわりお客様に「まごころ」をお届けします。,敦賀市港町2-17,0770-22-5726,注文7:30～12:00,土・日・祝,,36.229155,136.188062
飲食店,（株）トージツフーズ敦賀事業所,日替弁当,1,1,「ヘルシー感覚」と「色彩」にこだわり続け、メニューは「最高の普通」を追求しています。,敦賀市東洋町10-24,0770-25-6424,8:15～16:45,土・日曜日,,36.218052,136.220248
飲食店,なかや,日替わり定食,1,1,地元食材にこだわりバランスよく料理しています。,敦賀市本町1-7-14,0770-22-0694,11:30～13:30、17:30～21:30,日曜日,,35.651183,136.073344
飲食店,ニューサンピア敦賀1Fレストラン「ビィアンヴニュ」,ローストチキンランチ,1,1,鶏モモ肉のローストに、茄子の煮びたし、蒸し野菜を添えたヘルシーなランチセットです。,敦賀市呉羽町2番地,0770-24-2111,11:00～22:00、ランチ11:00～14:00（LO21:00）,年中無休,,36.217288,136.233625
飲食店,NEWマザーズ,べっぴん弁当,1,1,たっぷりの野菜とお魚を中心とした手づくりのおかずが人気です。日替わり弁当でお肉中心の物もあります。,敦賀市津内1丁目2-102,,弁当10:30～16:00、居酒屋18:00～,日・祝,,36.035934,136.199513
飲食店,ランチBOX彩 ,焼きさば弁当,1,1,手作りを売物にしています。野菜がたっぷりなので喜ばれています。,敦賀市本町2丁目12-5 ,,10:30～13:30,土・日・祝,,35.977451,136.501387
飲食店,ル・サンオンズ,本日のお魚Bランチ,1,1,旬の敦賀の魚を適した調理法やソースで一皿に仕上げます。※主食は、パンかライスが選べます。,敦賀市栄新町3-14,0770-23-2372,ランチ11:30～14:00、ディナー17:00～21:30,月曜日・第3日曜日,,36.098743,136.214939
飲食店,オーロラ,へしこ丼定食（ドリンク付き）,1,1,地元の食材にこだわり、特にへしこは塩分控えめの物を使っています。ぜひ、一度食べにお越しください。,美浜町久々子33-44-1,0770-32-1094,11:00～17:00（夜は要予約）,水曜日,,35.840302,136.190374
飲食店,藤八,福井海の健幸定食,1,1,福井の旬の魚や野菜を使った定食です。ぜひ、旬のおいしい食事を食べに一度お越しください。,美浜町河原市18-10-3,0770-32-2255,11:00～14:00、17:00～21:00,木曜日,,35.9865,136.509772
飲食店,あづみ野,あづみ野弁当,1,1,魚は若狭湾でとれた新鮮な魚、野菜も地場産を中心にお出ししています。刺身は欠かさずお出ししていますので、ぜひ、若狭湾でとれた新鮮な刺身を食べにいらしてください。,小浜市小浜白鬚10-1,0770-53-5037,11:30～14:30（夜は要予約）,月曜日,,35.648447,136.074205
飲食店,あばん亭,あばん弁当,1,1,お米は小浜市のコシヒカリで、地元の海と山の幸を使っています。栄養バランスや減塩にも考慮しました。,小浜市本保23-26,0770-57-1039,弁当8:00～17:00（注文は14:00まで）、ランチ12:00～15:00、ディナー17:00～20:00（前日までに要予約）,不定休,,35.654941,136.068833
